,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use
326,173818,2015,23.6208,1,3,3,4,3,3,2,74.84,2
327,173819,2015,31.4954,2,8,2,7,4,3,2,99.79,2
328,173820,2015,18.4807,1,3,4,2,3,3,2,52.16,1
329,173821,2015,17.2419,1,1,7,7,4,3,2,45.81,2
330,173823,2015,17.9269,1,6,5,6,3,3,2,47.63,2
331,173824,2015,21.1903,1,7,4,3,1,1,2,61.24,2
332,173825,2015,19.4922,2,5,4,3,2,1,2,49.9,2
333,173826,2015,18.6437,1,8,4,7,7,3,2,52.62,1
334,173827,2015,30.0656,2,6,3,4,2,1,2,95.26,2
335,173828,2015,18.3213,2,5,5,4,2,3,2,51.71,2
336,173831,2015,19.8438,2,8,3,7,1,1,2,50.8,2
337,173832,2015,20.5802,1,8,1,1,5,1,2,66.68,1
338,173834,2015,20.7581,2,6,3,4,1,1,2,65.77,2
339,173835,2015,20.4618,2,8,3,1,2,1,2,61.24,2
340,173836,2015,18.4258,2,5,5,5,3,1,2,47.17,2
341,173837,2015,26.6817,2,3,4,4,3,3,2,77.11,2
342,173838,2015,19.0988,2,5,4,2,3,1,2,63.96,2
343,173839,2015,20.4048,2,5,3,5,2,1,2,58.97,2
344,173840,2015,31.9084,2,4,2,7,1,4,2,76.66,2
345,173841,2015,24.5,1,6,1,5,7,1,2,79.38,1
346,173842,2015,30.3117,1,8,6,1,2,1,2,90.72,2
347,173843,2015,20.2778,1,8,2,1,3,1,2,71.67,2
348,173844,2015,17.4279,2,7,1,5,2,1,2,52.16,2
349,173845,2015,23.003,2,8,4,3,3,3,2,56.7,2
350,173846,2015,19.8438,2,8,3,2,1,1,2,50.8,2
351,173847,2015,20.4863,1,8,3,3,2,1,2,54.43,2
352,173848,2015,23.6208,1,3,5,6,3,3,2,74.84,1
353,173849,2015,20.4048,2,4,4,7,2,3,2,58.97,2
354,173850,2015,20.3269,1,8,3,3,2,1,2,55.34,1
355,173851,2015,20.7232,2,6,2,3,3,1,2,69.4,2
356,173852,2015,19.9744,2,1,4,2,5,1,2,53.07,2
357,173853,2015,27.5494,1,4,4,4,1,1,2,84.37,2
358,173854,2015,13.7191,2,1,7,7,3,3,2,44.45,2
359,173855,2015,21.6713,2,7,3,3,1,1,2,64.86,2
360,173856,2015,20.1461,2,8,1,6,2,1,2,68.95,2
361,173857,2015,24.3372,2,8,3,4,2,1,2,77.11,2
362,173858,2015,25.9012,2,8,4,2,1,1,2,83.92,2
363,173859,2015,22.191,1,8,3,7,3,2,2,70.31,1
364,173860,2015,21.9723,1,6,5,4,2,2,2,63.5,1
365,173861,2015,16.6485,2,6,5,5,2,1,2,33.57,2
366,173862,2015,17.179,1,8,5,2,3,1,2,54.43,2
367,173863,2015,19.2391,2,8,4,4,3,1,2,44.45,2
368,173864,2015,22.7578,2,6,1,5,2,3,2,65.77,2
369,173865,2015,18.6055,1,8,4,1,2,1,2,47.63,1
370,173866,2015,17.8506,1,7,4,3,1,1,2,44,2
371,173868,2015,21.825,2,3,2,6,7,3,2,65.32,1
372,173869,2015,21.6978,1,3,4,2,2,3,2,61.24,2
373,173870,2015,14.7227,2,8,7,7,1,1,2,36.29,2
374,173872,2015,17.4279,2,4,3,3,2,1,2,52.16,2
375,173873,2015,18.9584,2,6,4,3,1,1,2,58.06,2
376,173874,2015,17.1272,1,8,3,1,3,1,2,51.26,2
377,173875,2015,21.7006,2,8,3,7,2,1,2,70.31,2
378,173879,2015,25.9483,1,3,2,7,1,1,2,63.96,2
379,173880,2015,25.8255,1,5,4,2,2,1,2,70.31,2
380,173881,2015,24.2906,1,8,1,1,2,1,2,74.39,2
381,173882,2015,30.3497,1,8,3,4,4,1,2,96.16,2
382,173883,2015,25.4829,2,2,2,5,3,4,2,80.74,2
383,173884,2015,20.8264,1,1,1,1,1,1,2,56.7,1
384,173885,2015,27.4648,1,8,1,1,2,1,2,70.31,1
385,173886,2015,23.4931,2,1,4,4,7,3,2,63.96,2
386,173887,2015,18.3287,2,5,5,4,2,3,2,49.9,2
387,173888,2015,29.4111,2,6,7,7,2,3,2,83.01,2
388,173890,2015,18.4807,1,2,3,7,3,1,2,52.16,2
389,173891,2015,17.2664,2,1,1,6,1,1,2,49.9,2
390,173892,2015,19.3233,2,8,3,2,1,4,2,47.63,2
391,173893,2015,23.6996,2,8,2,2,2,4,2,72.58,2
392,173895,2015,20.4048,1,5,3,3,1,4,2,58.97,2
393,173896,2015,16.1289,1,8,2,1,1,1,2,36.29,1
394,173897,2015,21.9723,2,4,2,5,1,4,2,63.5,2
395,173898,2015,30.7789,2,1,4,5,1,3,2,97.52,2
396,173899,2015,21.4759,2,1,1,5,1,3,2,65.77,2
397,173900,2015,20.7347,2,5,3,5,2,3,2,63.5,2
398,173901,2015,19.6393,2,8,2,1,2,1,2,65.77,2
399,173903,2015,20.4709,1,8,3,1,3,2,2,64.86,1
400,173904,2015,18.5537,2,6,4,2,2,1,2,63.5,2
401,173906,2015,21.2667,1,8,5,1,3,2,2,71.22,2
402,173907,2015,23.0352,2,4,1,2,2,3,2,58.97,2
403,173908,2015,28.1404,2,4,5,5,1,1,2,86.18,2
404,173909,2015,28.8912,2,4,5,5,2,1,2,98.88,2
405,173910,2015,17.4221,2,8,3,1,3,1,2,50.35,2
406,173911,2015,28.2035,2,5,2,6,3,1,2,89.36,2
407,173912,2015,22.333,1,6,5,5,3,3,2,70.76,1
408,173914,2015,37.2163,2,4,3,6,7,4,2,98.88,2
409,173915,2015,17.4814,2,6,1,4,3,3,2,43.09,2
410,173916,2015,21.7618,2,8,2,1,1,2,2,68.95,2
411,173918,2015,18.6119,1,2,3,7,3,1,2,58.97,2
412,173919,2015,34.358,2,1,4,7,1,1,2,108.86,2
413,173921,2015,17.2664,1,6,4,7,3,3,2,49.9,2
414,173922,2015,18.0332,2,5,5,5,2,3,2,44.45,2
415,173923,2015,18.5153,2,8,7,7,1,2,2,36.29,2
