,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight
304,173783,2015,23.3386,1,8,1,7,2,4,2,69.85
305,173784,2015,19.9967,2,8,1,6,2,1,2,61.24
306,173785,2015,16.0988,2,6,1,2,1,1,2,52.16
307,173786,2015,29.157,1,2,2,1,7,4,2,79.38
308,173787,2015,31.6547,1,6,1,4,2,3,2,86.18
309,173788,2015,19.1589,1,6,2,2,3,3,2,52.16
310,173790,2015,30.5455,2,6,4,5,2,4,2,107.96
311,173791,2015,19.4922,2,5,4,2,2,2,2,49.9
312,173792,2015,20.5701,1,4,2,4,1,1,2,44.45
313,173793,2015,28.2526,2,6,4,3,5,1,2,81.65
314,173795,2015,29.0381,2,6,5,7,1,3,2,83.92
315,173796,2015,15.9036,1,1,7,7,3,3,2,54.43
316,173797,2015,27.4894,2,8,5,7,7,1,2,74.84
317,173798,2015,20.0893,1,1,1,2,1,1,2,56.7
318,173799,2015,17.8394,1,7,3,3,2,3,2,50.35
319,173800,2015,25.6088,2,4,6,4,2,3,2,68.04
320,173801,2015,29.8201,1,3,5,3,3,3,2,86.18
321,173802,2015,17.9355,1,2,2,6,3,2,2,43.09
322,173803,2015,23.3906,1,6,3,6,3,4,2,59.88
323,173805,2015,23.6208,2,5,6,6,1,3,2,74.84
324,173806,2015,21.6978,1,8,5,2,2,3,2,61.24
325,173807,2015,17.2301,1,8,3,4,2,4,2,58.97
326,173808,2015,21.4759,1,5,3,1,2,2,2,65.77
327,173809,2015,32.7779,1,7,5,1,3,1,2,109.77
328,173811,2015,21,1,2,4,1,4,4,2,68.04
329,173812,2015,20.1616,1,1,7,1,5,4,2,54.89
330,173813,2015,23.9467,2,6,3,2,1,4,2,71.67
331,173814,2015,23.3242,2,5,4,1,1,2,2,63.5
332,173817,2015,17.8934,2,8,3,1,1,1,2,61.24
333,173818,2015,23.6208,1,3,3,4,3,3,2,74.84
334,173819,2015,31.4954,2,8,2,7,4,3,2,99.79
335,173820,2015,18.4807,1,3,4,2,3,3,2,52.16
336,173821,2015,17.2419,1,1,7,7,4,3,2,45.81
337,173823,2015,17.9269,1,6,5,6,3,3,2,47.63
338,173824,2015,21.1903,1,7,4,3,1,1,2,61.24
339,173825,2015,19.4922,2,5,4,3,2,1,2,49.9
340,173826,2015,18.6437,1,8,4,7,7,3,2,52.62
341,173827,2015,30.0656,2,6,3,4,2,1,2,95.26
342,173828,2015,18.3213,2,5,5,4,2,3,2,51.71
343,173831,2015,19.8438,2,8,3,7,1,1,2,50.8
344,173832,2015,20.5802,1,8,1,1,5,1,2,66.68
345,173834,2015,20.7581,2,6,3,4,1,1,2,65.77
346,173835,2015,20.4618,2,8,3,1,2,1,2,61.24
347,173836,2015,18.4258,2,5,5,5,3,1,2,47.17
348,173837,2015,26.6817,2,3,4,4,3,3,2,77.11
349,173838,2015,19.0988,2,5,4,2,3,1,2,63.96
350,173839,2015,20.4048,2,5,3,5,2,1,2,58.97
351,173840,2015,31.9084,2,4,2,7,1,4,2,76.66
352,173841,2015,24.5,1,6,1,5,7,1,2,79.38
353,173842,2015,30.3117,1,8,6,1,2,1,2,90.72
354,173843,2015,20.2778,1,8,2,1,3,1,2,71.67
355,173844,2015,17.4279,2,7,1,5,2,1,2,52.16
356,173845,2015,23.003,2,8,4,3,3,3,2,56.7
357,173846,2015,19.8438,2,8,3,2,1,1,2,50.8
358,173847,2015,20.4863,1,8,3,3,2,1,2,54.43
359,173848,2015,23.6208,1,3,5,6,3,3,2,74.84
360,173849,2015,20.4048,2,4,4,7,2,3,2,58.97
361,173850,2015,20.3269,1,8,3,3,2,1,2,55.34
362,173851,2015,20.7232,2,6,2,3,3,1,2,69.4
363,173852,2015,19.9744,2,1,4,2,5,1,2,53.07
364,173853,2015,27.5494,1,4,4,4,1,1,2,84.37
365,173854,2015,13.7191,2,1,7,7,3,3,2,44.45
366,173855,2015,21.6713,2,7,3,3,1,1,2,64.86
367,173856,2015,20.1461,2,8,1,6,2,1,2,68.95
368,173857,2015,24.3372,2,8,3,4,2,1,2,77.11
369,173858,2015,25.9012,2,8,4,2,1,1,2,83.92
370,173859,2015,22.191,1,8,3,7,3,2,2,70.31
371,173860,2015,21.9723,1,6,5,4,2,2,2,63.5
372,173861,2015,16.6485,2,6,5,5,2,1,2,33.57
373,173862,2015,17.179,1,8,5,2,3,1,2,54.43
374,173863,2015,19.2391,2,8,4,4,3,1,2,44.45
375,173864,2015,22.7578,2,6,1,5,2,3,2,65.77
376,173865,2015,18.6055,1,8,4,1,2,1,2,47.63
377,173866,2015,17.8506,1,7,4,3,1,1,2,44
378,173868,2015,21.825,2,3,2,6,7,3,2,65.32
379,173869,2015,21.6978,1,3,4,2,2,3,2,61.24
380,173870,2015,14.7227,2,8,7,7,1,1,2,36.29
381,173872,2015,17.4279,2,4,3,3,2,1,2,52.16
382,173873,2015,18.9584,2,6,4,3,1,1,2,58.06
383,173874,2015,17.1272,1,8,3,1,3,1,2,51.26
384,173875,2015,21.7006,2,8,3,7,2,1,2,70.31
385,173879,2015,25.9483,1,3,2,7,1,1,2,63.96
386,173880,2015,25.8255,1,5,4,2,2,1,2,70.31
387,173881,2015,24.2906,1,8,1,1,2,1,2,74.39
388,173882,2015,30.3497,1,8,3,4,4,1,2,96.16
389,173883,2015,25.4829,2,2,2,5,3,4,2,80.74
390,173884,2015,20.8264,1,1,1,1,1,1,2,56.7
391,173885,2015,27.4648,1,8,1,1,2,1,2,70.31
392,173886,2015,23.4931,2,1,4,4,7,3,2,63.96
393,173887,2015,18.3287,2,5,5,4,2,3,2,49.9
394,173888,2015,29.4111,2,6,7,7,2,3,2,83.01
395,173890,2015,18.4807,1,2,3,7,3,1,2,52.16
396,173891,2015,17.2664,2,1,1,6,1,1,2,49.9
397,173892,2015,19.3233,2,8,3,2,1,4,2,47.63
398,173893,2015,23.6996,2,8,2,2,2,4,2,72.58
399,173895,2015,20.4048,1,5,3,3,1,4,2,58.97
400,173896,2015,16.1289,1,8,2,1,1,1,2,36.29
401,173897,2015,21.9723,2,4,2,5,1,4,2,63.5
402,173898,2015,30.7789,2,1,4,5,1,3,2,97.52
403,173899,2015,21.4759,2,1,1,5,1,3,2,65.77
404,173900,2015,20.7347,2,5,3,5,2,3,2,63.5
405,173901,2015,19.6393,2,8,2,1,2,1,2,65.77
406,173903,2015,20.4709,1,8,3,1,3,2,2,64.86
407,173904,2015,18.5537,2,6,4,2,2,1,2,63.5
408,173906,2015,21.2667,1,8,5,1,3,2,2,71.22
409,173907,2015,23.0352,2,4,1,2,2,3,2,58.97
410,173908,2015,28.1404,2,4,5,5,1,1,2,86.18
411,173909,2015,28.8912,2,4,5,5,2,1,2,98.88
412,173910,2015,17.4221,2,8,3,1,3,1,2,50.35
413,173911,2015,28.2035,2,5,2,6,3,1,2,89.36
414,173912,2015,22.333,1,6,5,5,3,3,2,70.76
415,173914,2015,37.2163,2,4,3,6,7,4,2,98.88
416,173915,2015,17.4814,2,6,1,4,3,3,2,43.09
417,173916,2015,21.7618,2,8,2,1,1,2,2,68.95
418,173918,2015,18.6119,1,2,3,7,3,1,2,58.97
419,173919,2015,34.358,2,1,4,7,1,1,2,108.86
420,173921,2015,17.2664,1,6,4,7,3,3,2,49.9
421,173922,2015,18.0332,2,5,5,5,2,3,2,44.45
422,173923,2015,18.5153,2,8,7,7,1,2,2,36.29
423,173925,2015,20.4863,1,5,2,7,1,3,2,54.43
424,173927,2015,17.7731,1,6,2,7,3,3,2,54.43
425,173928,2015,17.0725,2,7,4,3,2,3,2,45.36
426,173929,2015,17.68,2,3,5,2,2,3,2,49.9
427,173930,2015,23.2972,1,6,3,4,2,1,2,78.02
428,173931,2015,33.3223,2,6,3,7,2,3,2,90.72
429,173932,2015,31.0702,2,7,5,4,2,3,2,92.99
430,173934,2015,17.9989,1,5,5,3,2,3,2,50.8
431,173937,2015,15.9413,1,8,3,1,3,3,2,61.24
432,173938,2015,18.4388,2,6,4,3,2,3,2,48.99
433,173939,2015,16.9954,2,8,2,3,1,3,2,46.27
434,173940,2015,23.3029,2,4,1,4,1,3,2,65.77
435,173941,2015,20.4048,1,3,6,2,2,3,2,58.97
436,173942,2015,19.285,1,8,4,7,3,1,2,54.43
437,173943,2015,29.7336,2,8,4,4,2,3,2,83.92
438,173944,2015,21.9945,2,8,5,6,3,3,2,59.88
439,173946,2015,18.9931,2,8,7,7,3,3,2,54.89
440,173950,2015,24.1071,1,2,5,6,3,1,2,68.04
441,173951,2015,20.7581,2,5,3,3,2,1,2,65.77
442,173952,2015,30.1349,2,1,5,3,1,1,2,87.09
443,173953,2015,18.8339,2,7,4,3,1,1,2,54.43
444,173954,2015,19.12,1,8,5,2,1,1,2,50.8
