,index,year,bmi,Vape Use,Physical Activity,Television,Electronic Devices,Grades,race,sex
1841,191619,2017,23.8581,3,2,2,2,2,2,2
1842,191623,2017,16.3779,2,1,1,1,1,2,2
1843,191625,2017,23.9,1,1,1,1,1,2,2
1844,191626,2017,25.4463,1,1,1,1,4,2,2
1845,191627,2017,19.6393,2,1,1,1,1,2,2
1846,191628,2017,26.6817,1,1,1,1,1,2,2
1847,191629,2017,23.4923,1,1,1,1,1,2,2
1848,191630,2017,22.5834,2,1,1,1,1,1,2
1849,191631,2017,21.8671,2,1,1,1,1,2,2
1850,191632,2017,20.09,1,1,1,1,1,1,2
1851,191633,2017,27.3114,1,1,1,1,1,2,2
1852,191635,2017,17.6088,2,1,1,1,1,2,2
1853,191636,2017,17.7731,2,1,1,1,1,1,2
1854,191637,2017,21.9723,2,1,1,1,1,1,2
1855,191638,2017,18.4904,2,3,1,3,1,1,2
1856,191639,2017,18.9012,1,1,1,1,1,2,2
1857,191640,2017,14.0702,2,3,1,3,1,1,2
1858,191642,2017,22.191,1,1,1,1,1,2,2
1859,191644,2017,18.6085,2,1,1,1,2,1,2
1860,191645,2017,18.866,1,1,1,1,1,1,2
1861,191647,2017,33.8619,2,6,6,6,1,1,2
1862,191648,2017,22.195,1,1,1,1,1,4,2
1863,191649,2017,26.6612,2,1,1,1,1,3,2
1864,191650,2017,30.0077,1,1,1,1,1,3,2
1865,191652,2017,20.3169,2,1,1,1,1,3,2
1866,191653,2017,18.9615,2,1,1,1,2,1,2
1867,191654,2017,26.5164,2,1,1,1,1,4,2
1868,191655,2017,21.0,1,1,1,1,1,2,2
1869,191656,2017,24.9275,2,1,1,1,2,3,2
1870,191657,2017,23.3242,2,1,1,1,1,3,2
1871,191659,2017,20.7347,1,1,1,1,1,1,2
1872,191661,2017,21.0,2,4,4,4,4,1,2
1873,191662,2017,19.6319,1,1,1,1,1,2,2
1874,191663,2017,19.911,1,1,1,1,1,1,2
1875,191666,2017,25.1788,1,1,1,1,1,2,2
1876,191668,2017,18.8339,2,1,1,1,1,3,2
1877,191669,2017,19.8802,2,2,3,2,1,1,2
1878,191670,2017,21.1788,1,1,1,1,1,1,2
1879,191671,2017,20.0417,2,2,2,2,5,3,2
1880,191672,2017,22.3476,2,4,4,4,1,1,2
1881,191673,2017,17.2664,1,2,2,2,1,1,2
1882,191674,2017,27.1998,1,1,1,1,3,3,2
1883,191675,2017,17.5816,2,1,1,1,1,4,2
1884,191677,2017,22.9075,1,1,1,1,6,3,2
1885,191681,2017,30.0077,1,1,1,1,1,4,2
1886,191682,2017,25.0537,2,1,1,1,1,2,2
1887,191683,2017,17.8955,2,1,1,1,1,1,2
1888,191684,2017,22.195,1,1,1,1,1,1,2
1889,191685,2017,23.0255,2,2,1,2,1,1,2
1890,191687,2017,32.4363,2,1,1,1,1,3,2
1891,191689,2017,17.6602,1,1,1,1,1,3,2
1892,191690,2017,20.8264,2,1,1,1,1,3,2
1893,191691,2017,21.2169,1,1,1,1,1,1,2
1894,191695,2017,30.0524,2,2,2,2,2,1,2
1895,191696,2017,25.1142,2,1,1,1,1,1,2
1896,191697,2017,18.3401,2,1,1,1,1,4,2
1897,191699,2017,20.8936,1,1,1,1,1,4,2
1898,191700,2017,21.1903,2,1,1,1,1,3,2
1899,191702,2017,36.2224,1,1,1,1,1,2,2
1900,191703,2017,25.2699,1,1,1,1,1,4,2
1901,191706,2017,25.7643,1,1,1,1,1,4,2
1902,191707,2017,20.8936,1,3,4,3,1,1,2
1903,191709,2017,23.7963,1,2,1,2,1,3,2
1904,191711,2017,34.9629,1,1,1,1,1,1,2
1905,191712,2017,21.7006,2,1,1,1,1,1,2
1906,191713,2017,32.5062,2,2,1,2,1,4,2
1907,191714,2017,31.1535,1,1,1,1,1,2,2
1908,191715,2017,24.3287,1,1,1,1,1,3,2
1909,191716,2017,22.494,2,1,1,1,1,3,2
1910,191718,2017,23.0988,2,1,1,1,1,2,2
1911,191719,2017,29.12,1,1,1,1,1,4,2
1912,191721,2017,26.2111,2,1,1,1,1,2,2
1913,191722,2017,28.0,1,1,1,1,1,3,2
1914,191723,2017,19.2489,2,4,4,4,3,1,2
1915,191725,2017,15.9599,1,1,1,1,1,4,2
1916,191727,2017,20.7581,1,4,5,4,2,1,2
1917,191728,2017,16.1661,2,1,1,1,1,3,2
1918,191729,2017,21.9038,2,1,1,1,3,2,2
1919,191732,2017,26.6286,2,2,1,2,1,1,2
1920,191735,2017,22.1797,1,1,1,1,1,4,2
1921,191736,2017,22.3476,2,1,1,1,1,1,2
1922,191738,2017,18.6119,1,1,1,1,1,1,2
1923,191739,2017,25.1804,1,7,4,7,5,1,2
1924,191740,2017,21.3601,2,6,7,6,5,1,2
1925,191742,2017,19.3284,2,2,1,2,1,1,2
1926,191745,2017,28.3232,2,2,2,2,1,1,2
1927,191749,2017,20.0117,2,1,1,1,4,3,2
1928,191750,2017,20.0417,1,1,1,1,1,1,2
1929,191751,2017,17.5815,2,1,1,1,1,1,2
1930,191752,2017,25.8255,2,1,1,1,1,3,2
1931,191753,2017,16.8412,1,1,1,1,3,4,2
1932,191754,2017,22.6797,1,1,1,1,1,3,2
1933,191756,2017,21.4322,2,4,5,4,1,1,2
1934,191757,2017,19.6194,2,1,1,1,1,3,2
1935,191758,2017,22.7338,1,1,1,1,1,1,2
1936,191759,2017,18.0484,1,1,1,1,1,1,2
1937,191763,2017,18.5143,2,3,3,3,3,3,2
1938,191765,2017,27.2994,2,1,1,1,1,1,2
1939,191768,2017,18.1492,1,2,1,2,1,3,2
1940,191769,2017,24.2493,2,3,3,3,2,1,2
1941,191771,2017,20.2994,1,1,1,1,1,1,2
1942,191772,2017,23.1434,1,1,1,1,1,1,2
1943,191773,2017,21.2067,2,2,1,2,1,1,2
1944,191775,2017,23.7994,2,1,1,1,1,4,2
