,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use,cyber_bullied
7876,183166,2015,19.6584,1,0,4.0,5.0,7,2,1,53.52,1,2
7877,183167,2015,23.9219,2,5,1.0,5.0,1,2,1,61.24,1,2
7878,183169,2015,19.3125,1,0,2.0,2.0,2,3,1,49.44,2,2
7879,183170,2015,29.8769,2,0,0.5,3.0,1,1,1,79.38,2,1
7880,183172,2015,21.6602,2,4,3.0,5.0,1,3,1,58.97,2,2
7881,183174,2015,21.7128,1,1,0.5,1.0,2,2,1,53.52,1,2
7882,183175,2015,21.6978,2,7,2.0,2.0,1,1,1,61.24,2,2
7883,183176,2015,24.1665,2,2,2.0,5.0,2,3,1,58.06,2,1
7884,183177,2015,22.3814,2,3,0.0,5.0,2,3,1,51.71,2,2
7885,183178,2015,26.3071,2,7,1.0,0.0,3,3,1,60.78,2,2
7886,183179,2015,19.3233,1,7,4.0,5.0,2,3,1,47.63,2,2
7887,183180,2015,19.4922,1,5,4.0,3.0,2,1,1,49.9,1,2
7888,183182,2015,19.9744,2,5,3.0,2.0,7,2,1,53.07,2,2
7889,183183,2015,17.326,1,4,2.0,3.0,4,3,1,47.17,1,1
7890,183185,2015,19.1589,2,5,3.0,3.0,2,3,1,52.16,2,2
7891,183186,2015,22.2687,1,2,3.0,0.0,1,2,1,54.89,2,2
7892,183187,2015,25.7617,1,2,0.5,2.0,2,1,1,63.5,2,2
7893,183188,2015,20.4863,1,0,0.0,5.0,7,2,1,54.43,1,2
7894,183189,2015,24.7544,2,5,4.0,0.0,2,1,1,65.77,2,2
7895,183190,2015,20.4048,2,7,0.0,3.0,1,1,1,58.97,2,2
7896,183191,2015,20.0234,2,4,4.0,0.0,1,1,1,51.26,2,2
7897,183193,2015,20.8936,1,4,0.0,2.0,3,1,1,58.97,2,2
7898,183194,2015,25.6097,2,7,5.0,3.0,1,3,1,55.34,2,2
7899,183195,2015,34.9899,2,5,3.0,4.0,1,3,1,95.26,2,2
7900,183196,2015,22.082,1,0,3.0,4.0,2,3,1,54.43,1,1
7901,183197,2015,33.2279,1,1,2.0,5.0,2,3,1,79.83,1,2
7902,183201,2015,21.9727,1,0,3.0,0.0,3,3,1,56.25,2,2
7903,183202,2015,26.4023,1,7,0.0,1.0,2,1,1,67.59,1,1
7904,183203,2015,19.3556,2,0,2.0,0.5,2,4,1,43.55,2,2
7905,183204,2015,24.1473,2,7,0.0,0.5,1,4,1,55.79,2,2
7906,183206,2015,18.4807,2,5,0.5,3.0,1,1,1,52.16,2,2
7907,183211,2015,19.4922,1,4,3.0,4.0,3,3,1,49.9,2,2
7908,183212,2015,23.0494,2,7,0.0,1.0,1,4,1,61.24,2,2
7909,183213,2015,20.4048,2,3,3.0,4.0,1,4,1,58.97,2,2
